gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name,gene_type,DE_status
ENSG00000099953.10,11722.762650096316,6.085571742381735,0.17210615668947893,4.551772950582106e-275,1.8786987676232585e-270,MMP11,protein_coding,Upregulated
ENSG00000123500.10,4031.658095410975,6.9628861722650965,0.20059428682910724,2.4519383764048038e-265,5.0600652273865935e-261,COL10A1,protein_coding,Upregulated
ENSG00000060718.22,5564.4121812805915,5.932492683833995,0.2243306322343093,2.6320376484021877e-155,3.62115739667173e-151,COL11A1,protein_coding,Upregulated
ENSG00000122641.11,2381.2482433709797,3.3907415678165265,0.1317039962211973,2.10485198452374e-147,2.171891520230821e-143,INHBA,protein_coding,Upregulated
ENSG00000025423.11,168.43064682996933,3.044564593437512,0.12619038427401752,1.2266084865455535e-129,1.0125407734736235e-125,HSD17B6,protein_coding,Upregulated
ENSG00000117650.13,865.514168667175,4.32955986722764,0.17969578569818243,2.0992617326563203e-129,1.4440821458942826e-125,NEK2,protein_coding,Upregulated
ENSG00000088325.16,2696.5752998169487,3.6414278206853794,0.15260687240654378,6.7016800448844774e-127,3.457564277157024e-123,TPX2,protein_coding,Upregulated
ENSG00000230838.1,145.79903622467202,5.341812900018416,0.22407530842385334,5.8646112908626615e-127,3.457564277157024e-123,LINC01614,lncRNA,Upregulated
ENSG00000143228.13,615.4254270316411,3.9000271606647297,0.16515018194421646,1.9905986092024307e-124,9.128885221802347e-121,NUF2,protein_coding,Upregulated
ENSG00000090889.12,901.8674531097756,3.8781603401325286,0.16525283477720243,5.758536008163547e-123,2.3767781520094224e-119,KIF4A,protein_coding,Upregulated
ENSG00000154736.6,3886.4224422198226,-3.0175417976903574,0.13053398728843285,3.00946366491265e-119,1.1292054845964065e-115,ADAMTS5,protein_coding,Downregulated
ENSG00000134057.15,1734.9918773412437,2.511519949349402,0.10882749015648127,1.7674991826927212e-118,6.079313438871614e-115,CCNB1,protein_coding,Upregulated
ENSG00000104415.14,1062.739585551336,3.5460531432607696,0.15502907282649475,6.640873490463747e-117,2.1084262495800054e-113,CCN4,protein_coding,Upregulated
ENSG00000077152.11,848.5367518487678,3.3153473208775317,0.14523159494083723,1.436917911504852e-116,4.236239277103662e-113,UBE2T,protein_coding,Upregulated
ENSG00000029559.7,78.30459936159781,6.787971156898669,0.30173361716176184,6.985869593063237e-113,1.9222318772272803e-109,IBSP,protein_coding,Upregulated
ENSG00000149090.12,2279.2732031906357,-3.362107627097116,0.1494374111810253,9.423573348829641e-113,2.368201888527935e-109,PAMR1,protein_coding,Downregulated
ENSG00000175063.17,1318.2366116645574,4.234470014700605,0.1886856864295828,9.754187165037285e-113,2.368201888527935e-109,UBE2C,protein_coding,Upregulated
ENSG00000170312.16,1636.7259208467697,3.256508590047316,0.14502587404741313,1.188355686118309e-112,2.7248995882692824e-109,CDK1,protein_coding,Upregulated
ENSG00000183682.8,380.1175272642282,2.7187932755558593,0.12148659886371559,5.121983371677954e-112,1.1126565351717676e-108,BMP8A,protein_coding,Upregulated
ENSG00000169241.19,3624.7577267444435,1.8727501310664414,0.08359835579070032,1.1628745680899158e-111,2.399824246167159e-108,SLC50A1,protein_coding,Upregulated
ENSG00000087586.18,906.4370767520867,3.1704658827940144,0.14208372638425618,1.7774866644802212e-111,3.493523075702697e-108,AURKA,protein_coding,Upregulated
ENSG00000166851.15,795.2393955376983,3.3749537892145507,0.1514506894097416,2.7357401483879816e-111,5.1324972220257064e-108,PLK1,protein_coding,Upregulated
ENSG00000165197.5,998.4644785282236,-4.637248320198131,0.2087263439734245,1.4923246813762497e-110,2.6780090825705794e-107,VEGFD,protein_coding,Downregulated
ENSG00000163815.6,1599.3294523801824,-3.9998389926092206,0.18111094395671729,2.754781699162353e-109,4.737535827134457e-106,CLEC3B,protein_coding,Downregulated
ENSG00000164611.13,791.9739174000098,3.1980817412358435,0.1456613975680725,6.167481413368604e-108,1.018226511421503e-104,PTTG1,protein_coding,Upregulated
ENSG00000134690.11,801.8754198844779,3.0992706910283014,0.14117384497351027,7.719006766912236e-108,1.2253626357597526e-104,CDCA8,protein_coding,Upregulated
ENSG00000183856.11,1261.2663863596476,3.656995914711054,0.16704280234945196,1.7884531390169962e-107,2.7339486985106483e-104,IQGAP3,protein_coding,Upregulated
ENSG00000154839.10,261.7960091310004,3.319884052892874,0.15205296530967558,8.030272018387641e-107,1.183719454596184e-103,SKA1,protein_coding,Upregulated
ENSG00000161888.11,354.5980243790758,3.0147931955148626,0.13850137854587444,3.481708424832642e-106,4.955311500915258e-103,SPC24,protein_coding,Upregulated
ENSG00000075702.18,421.1617288687735,1.549035790872375,0.12871852240733087,1.4168189956993634e-105,1.949259574283184e-102,WDR62,protein_coding,Upregulated
ENSG00000127564.17,474.30785974914863,3.82454876203469,0.17629073176555105,1.4691522032096706e-105,1.9560576785572885e-102,PKMYT1,protein_coding,Upregulated
ENSG00000152253.9,264.6691774662144,2.9251812017536283,0.1348098553536172,1.6456897149194465e-105,2.1226311654245386e-102,SPC25,protein_coding,Upregulated
ENSG00000160753.16,2688.7846567011666,1.514295695298779,0.06987662412843794,4.04301541364987e-105,5.056709641908629e-102,RUSC1,protein_coding,Upregulated
ENSG00000160161.9,577.6480954695933,3.5405031965016742,0.16402772289340414,1.5278957827201527e-104,1.8547756039997525e-101,CILP2,protein_coding,Upregulated
ENSG00000169679.15,966.4351686365021,3.45992237747095,0.1603370917949054,2.1355336735088333e-104,2.5183433382972452e-101,BUB1,protein_coding,Upregulated
ENSG00000100526.20,333.7527994623043,2.8390053229539487,0.13190879657693869,6.9139625004503e-104,7.926858006766268e-101,CDKN3,protein_coding,Upregulated
ENSG00000123485.12,485.0756916424461,3.469665421913736,0.16153997572210127,1.6737893390639993e-103,1.8671346265007436e-100,HJURP,protein_coding,Upregulated
ENSG00000138180.16,772.7185081335443,3.411985379648024,0.15895374879897162,2.2904714877546186e-103,2.487813689094319e-100,CEP55,protein_coding,Upregulated
ENSG00000164087.8,467.1154141156155,2.109780811416937,0.0984815146639549,6.593411806119605e-103,6.977858432968734e-100,POC1A,protein_coding,Upregulated
ENSG00000165304.8,659.6557466093041,3.5745345882627486,0.1672624882286788,1.7383574539443945e-102,1.7937241388525232e-99,MELK,protein_coding,Upregulated
ENSG00000105011.9,928.732280423224,3.108213965702986,0.1455117205479721,1.9920208345304745e-102,2.0053333640100195e-99,ASF1B,protein_coding,Upregulated
ENSG00000117724.13,3985.4133344794973,3.3467623870434102,0.1567755850176692,2.5320130475221127e-102,2.4882453934149446e-99,CENPF,protein_coding,Upregulated
ENSG00000237649.8,1215.5238463414064,3.231219777128579,0.15149674675385577,4.931062439466972e-102,4.733131886664182e-99,KIFC1,protein_coding,Upregulated
