category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,167/2140,361/8218,0.4626038781163435,1.7764853599813604,8.952445349602101,2.042253311676062e-17,7.107041524632696e-15,6.148257338308988e-15,GABRD/GRM4/LEPR/NMUR1/HTR1D/LEP/CHRNA6/GLP2R/ADRA1A/ADRB2/VGF/CGA/ADCYAP1R1/EDNRB/GHR/AVPR2/GRM8/OXTR/LHCGR/ADM2/PTH1R/SCT/SCTR/GRIN2D/SSTR1/TACR1/TMEM97/SPX/GRIN2B/GALR1/PENK/KISS1R/NPW/NR3C1/S1PR1/THRB/HTR2A/EDN2/HCRTR1/PTGER4/VIP/NMU/CHRNA9/P2RX6/P2RX5/GRIK1/UTS2B/OPRD1/GABRQ/GRIA2/PAQR6/LPAR2/RXFP3/GRIA4/F2RL2/P2RY6/KISS1/P2RY14/MAS1/NMB/AVPR1A/GABRA4/NTSR1/GABBR2/PTGFR/ADRA2A/SSTR2/F2R/GABRE/NPY2R/CHRNA2/HTR4/DRD4/PYY/UCN/CRHR2/P2RY10/PRLH/GABRA5/ADRB3/GRIN2C/GPR50/ADM/PAQR9/EDN1/CHRNA5/HTR1E/CHRNB4/GAL/GABRG1/GRM2/CNR2/SLURP1/CHRNA7/PRLR/GPHA2/GALR2/EDN3/TSHB/PNOC/GZMA/AGT/CCKAR/CCKBR/UTS2/RXFP1/ADRA2B/GCGR/GRIK4/GABRA2/F2/NPBWR1/TRH/GRIA3/MCHR1/NPY4R/CHRNA3/GABRA3/GRIN1/PTGER3/CTSG/CALCA/PRSS1/ADORA2A/TACR3/CALCR/CALCB/MC5R/GRPR/GRM7/P2RX2/GRIN3B/AVPR1B/NTS/DRD2/HTR6/NPY1R/SSTR5/PRSS2/AVP/RLN2/GHSR/CNR1/ADRB1/HRH3/HTR1A/NPY4R2/CHRNA4/KNG1/CHRNB3/GABRR3/MTNR1B/GALR3/PRLHR/NPY/PLG/CHRM2/CRHR1/CCK/NMUR2/CHRND/GABRA1/UCN3/GHRHR/CHRNG/CHRM4/HTR2C,167
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,77/2140,126/8218,0.6111111111111112,2.3467808930425753,9.0393554478106,7.108804860224488e-17,1.2369320456790609e-14,1.0700622052758968e-14,MACROH2A1/H3C10/H2AZ1/H2AC13/H2AX/H2BC5/SNRPB/H2BC12/H2BC17/H4C9/H2BC6/H3-3A/H2BC9/H4C14/H2BC21/H3C12/CD80/H2BC11/H2BC4/GRIN2B/H4C5/H2BC18/H3C8/H4C12/H4C8/H4C11/H2BC7/ELANE/H2AC6/H2AC20/H4C4/H3C2/H2BC15/H2BC13/H3C3/H2AC14/FCGR1A/H2AC17/H3C6/H2AC16/H2BC8/H2AC11/C8G/H2AC18/H3C13/H3Y1/H2BC14/C4B/C4A/IFNG/H2AJ/FCGR3A/C6/H3C7/H2AC19/HLA-DQB1/HLA-DQA1/H2AC12/H4C3/H2BC10/H2AC21/H4C2/HLA-DOB/H2AC8/HLA-DQA2/H4C15/CTSG/H2AC4/C7/H3C14/H4C1/H3C11/H3C15/H2BC3/H2AC7/H3C1/H2BW2,77
Human Diseases,Substance dependence,hsa05034,Alcoholism,92/2140,179/8218,0.5139664804469274,1.9737273534172193,7.815307197818015,2.2597216680496863e-13,2.6212771349376362e-11,2.2676505160077557e-11,MACROH2A1/H3C10/H2AZ1/NTRK2/GNAI1/CREB5/GNG11/H2AC13/H2AX/H2BC5/H2BC12/H2BC17/H4C9/H2BC6/MAOA/H3-3A/FOSB/CREB3L1/PPP1CA/H2BC9/H4C14/GRIN2D/H2BC21/H3C12/GNG13/H2BC11/H2BC4/GRIN2B/GNG2/H4C5/H2BC18/H3C8/CREB3L4/H4C12/H4C8/H4C11/H2BC7/TH/H2AC6/H2AC20/H4C4/H3C2/H2BC15/H2BC13/GNG4/H3C3/H2AC14/H2AC17/H3C6/H2AC16/SHC3/H2BC8/H2AC11/H2AC18/GNGT1/H3C13/H3Y1/H2BC14/GRIN2C/H2AJ/H3C7/CAMK4/H2AC19/H2AC12/H4C3/CALML5/GNG3/H2BC10/H2AC21/H4C2/SLC18A1/ADCY5/GNG8/GRIN1/H2AC8/H4C15/H2AC4/ADORA2A/GRIN3B/CREB3L3/DRD2/H3C14/H4C1/H3C11/H3C15/CALML6/PKIA/H2BC3/H2AC7/H3C1/NPY/H2BW2,92
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,103/2140,232/8218,0.44396551724137934,1.7049105704157268,6.462440310893578,6.705339114619399e-10,5.8336450297188774e-8,5.046649965213549e-8,COL11A1/MYOM1/FHL1/COMP/LMNB1/LMOD1/BGN/MYH11/FN1/SPTBN1/ATP1A2/DMD/SYNE3/TNNT1/DIAPH3/ITGA7/DAAM2/TLN2/COL6A6/FBN2/TMOD1/SSPN/MYH1/LMNB2/MYOM2/SYNE1/DCN/TNNT3/PDLIM3/ATP1A3/ANK2/MYOZ2/COL5A1/ENO2/COL1A1/MYL9/DES/SYNPO2/CAPN3/XIRP1/MYH3/SDC1/DIAPH2/CSRP1/COL5A2/VIM/SGCB/ITGA1/VCAN/FMNL2/SGCZ/MYL3/FLNC/COL6A5/TTN/COL24A1/ACTN2/COL1A2/LAMA2/TNNI3/COL9A3/AMPD1/LDB3/MYBPC1/MYOM3/ATP1B2/FBLN2/SGCG/SGCA/COL3A1/MYH2/CAPZA3/MYL2/ACTG2/LAMA1/MYBPH/THBS2/TPM2/COL4A3/ANKRD1/MYL7/C10orf71/SPTBN2/FBN3/MYH6/OBSCN/MYH7B/ENO3/COL9A2/TNNC2/XIRP2/LMOD2/ATP1A4/TRIM55/ACTC1/ACTN3/ANKRD2/TRIM63/MYH8/TNNI2/MYL1/ACTA1/MYBPC2,103
Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,90/2140,199/8218,0.45226130653266333,1.7367679519090782,6.242813204768464,2.6379771286832106e-9,1.8360320815635145e-7,1.5883399132703121e-7,GABRD/GRM4/HTR1D/GNAI1/SLC17A7/GNG11/CHRNA6/ADRA1A/ADRB2/GNAL/GRM8/P2RY12/GRIN2D/GNG13/SLC17A9/TACR1/ADCY4/GRIN2B/GNG2/PENK/HTR2A/SLC6A4/P2RX6/SLC6A9/P2RX5/GRIK1/OPRD1/GNG4/GABRQ/GRIA2/GRIA4/P2RY6/P2RY14/GABRA4/GABBR2/ADRA2A/GABRE/HTR4/DRD4/SLC1A1/SLC1A3/GNGT1/GABRA5/GRIN2C/SLC1A2/SLC1A7/HTR1E/CHRNB4/GABRG1/GRM2/CHRNA7/ADCY8/GNG3/PNOC/ADRA2B/GRIK4/GABRA2/ADCY1/GRIA3/SLC18A1/CHRNA3/ADCY5/GABRA3/GNG8/SLC1A6/GRIN1/ADORA2A/TACR3/GRM7/AGRP/P2RX2/GRIN3B/DRD2/HTR6/SLC6A11/HTR3A/HTR3C/ADRB1/HRH3/PRKCG/HTR1A/CHRNA4/GABRR3/CHRM2/SLC17A8/SLC17A6/CHAT/GABRA1/CHRM4/HTR2C,90
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,118/2140,287/8218,0.41114982578397213,1.578892181445179,5.923219675756132,1.0720646535704479e-8,6.217974990708598e-7,5.379131419669265e-7,INHBA/BMP8A/CCL11/TSLP/LEPR/ACVR1C/IL21R/CXCL11/TGFBR2/LIFR/LEP/CXCL10/CXCL2/GDF10/CCR8/TNFRSF9/TNFRSF18/GHR/BMP2/CXCL9/BMPR1B/CCL14/IL33/IL19/CXCR2/MPL/IL11RA/BMP6/TNFSF4/CXCL12/CX3CL1/RELT/GDF15/EPO/TNFRSF10D/CSF3/BMP3/RELL2/CCL16/LTA/CCL24/CCR4/ACKR4/EDA/IL6/CCR7/IL9R/IL12B/LTB/AMH/CNTFR/CXCR4/IL24/IL21/CCL17/INHA/CXCR3/CXCL3/IL17D/IFNL1/IL20/IL27/CXCL17/THPO/ACVRL1/IL17C/IFNL3/CCL21/CCL20/TGFB3/NODAL/ACKR3/IL18/CCL23/PF4/TNFRSF4/CXCR5/IL11/CCL7/IL17B/IFNL2/CCL13/TNFRSF8/CCL28/IFNG/IL2RG/CD27/IFNB1/PRLR/OSM/IL2RB/CCL19/IL12RB1/CCR5/CSF3R/PPBP/CCL5/TNFRSF13C/IL34/CX3CR1/INHBE/MSTN/BMP5/TNFRSF12A/CCR3/GDF9/FASLG/NGFR/PF4V1/EDAR/IFNE/IL12RB2/IL36RN/CCL1/TNFRSF13B/CXCL13/IFNA8/TNFSF11,118
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,93/2140,224/8218,0.41517857142857145,1.5943633177570093,5.351519568018338,2.321814822548685e-7,1.1542736546384892e-5,9.985549462389835e-6,NPR1/HCN2/LIPE/HTR1D/GNAI1/ATP1A2/HCAR2/CREB5/ADRB2/FXYD1/CGA/ADCYAP1R1/PDE3B/OXTR/VAV2/RAPGEF3/LHCGR/CREB3L1/PPP1CA/GRIN2D/SSTR1/HCAR3/ADCY4/GRIN2B/ATP2A3/FOS/ARAP3/CREB3L4/ATP1A3/MYL9/EDN2/PPARA/PIK3R1/VIP/FXYD2/AMH/JUN/GRIA2/RAC3/MAPK10/GRIA4/PTCH1/GABBR2/SSTR2/F2R/ATP2B4/HTR4/PAK1/CRHR2/TNNI3/CNGA2/GRIN2C/VAV3/RAC2/EDN1/ATP1B2/HTR1E/PLN/CAMK2A/CACNA1D/CAMK4/ATP2A1/GPHA2/ADCY8/EDN3/TSHB/CALML5/HHIP/SUCNR1/ADCY1/GRIA3/HCN4/ADCY5/GRIN1/PTGER3/ADORA2A/CNGA3/GRIN3B/CREB3L3/DRD2/HTR6/NPY1R/SSTR5/GHSR/ATP1A4/CALML6/ADRB1/HTR1A/ATP2B3/NPY/CHRM2/CRHR1/POPDC3,93
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,101/2140,251/8218,0.40239043824701193,1.5452544960345531,5.205613137910107,4.3190651351490763e-7,1.8787933337898482e-5,1.6253324061218894e-5,VEGFD/NTRK2/PHKG2/ADRA1A/ADRB2/FGF1/ITPKA/EDNRB/GNAL/ORAI2/OXTR/MYLK/PDGFD/LHCGR/GRIN2D/TRDN/TACR1/ADCY4/GRIN2B/FGF2/ATP2A3/RET/EGFR/FGFR3/FGF7/MET/HTR2A/RYR3/CASQ2/PDE1C/PDGFRA/MYLK2/P2RX6/P2RX5/SLC8A2/CACNA1B/FLT4/CACNA1H/CXCR4/CAMK1/MCOLN2/MST1R/PDE1B/NOS1/PLCZ1/AVPR1A/CACNA1E/FGF5/NTSR1/PTGFR/PDGFA/F2R/ATP2B4/HTR4/PHKG1/ERBB2/HRC/ADRB3/GRIN2C/ASPH/FGFR4/CACNA1I/PLN/CAMK2A/CHRNA7/CACNA1D/CAMK4/ATP2A1/ADCY8/CALML5/CCKAR/CCKBR/MYLK4/FGF16/ADCY1/GRIN1/CAMK1G/PTGER3/ADORA2A/TACR3/FGF8/GRPR/P2RX2/GRIN3B/EGF/AVPR1B/SLC8A3/TNNC2/HTR6/FGF17/CALML6/ADRB1/PPP3R2/PRKCG/SLN/FGF21/ATP2B3/RYR1/CHRM2/FGF3/HTR2C,101
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,77/2140,181/8218,0.425414364640884,1.6336706769246658,5.114922952474624,8.107691361842121e-7,3.1349739932456195e-5,2.7120464672360785e-5,MACROH2A1/H3C10/H2AZ1/H2AC13/H2AX/H2BC5/CAMP/H2BC12/H2BC17/H4C9/H2BC6/H3-3A/H2BC9/H4C14/VWF/H2BC21/H3C12/H2BC11/H2BC4/H4C5/H2BC18/H3C8/H4C12/TLR4/H4C8/H4C11/H2BC7/ELANE/PIK3R1/H2AC6/H2AC20/H4C4/H3C2/H2BC15/H2BC13/H3C3/H2AC14/FCGR1A/H2AC17/H3C6/H2AC16/H2BC8/ITGAL/H2AC11/H2AC18/H3C13/H3Y1/H2BC14/RAC2/CLEC7A/H2AJ/FCGR3A/H3C7/SELP/H2AC19/CLCN4/H2AC12/H4C3/H2BC10/H2AC21/H4C2/H2AC8/H4C15/CTSG/H2AC4/CR1L/AZU1/H3C14/H4C1/H3C11/H3C15/PRKCG/H2BC3/H2AC7/H3C1/FGB/H2BW2,77
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,47/2140,97/8218,0.4845360824742268,1.8607091241930822,5.059652625526004,1.5870169412990178e-6,5.5228189557205816e-5,4.777756265384412e-5,CCL11/CXCL11/CXCL10/CXCL2/CCR8/CXCL9/CCL14/IL19/CXCR2/CXCL12/CX3CL1/TNFRSF10D/CCL16/LTA/CCL24/CCR4/ACKR4/IL6/CCR7/CXCR4/IL24/CCL17/CXCR3/CXCL3/IL20/CCL21/CCL20/ACKR3/IL18/CCL23/PF4/CXCR5/CCL7/CCL13/CCL28/IL2RG/IL2RB/CCL19/CCR5/PPBP/CCL5/IL34/CX3CR1/CCR3/PF4V1/CCL1/CXCL13,47
